Skenario,Model,Threshold,Accuracy (Default),Precision (Default),Recall (Default),F1 (Default),Accuracy (Tuned),Precision (Tuned),Recall (Tuned),F1 (Tuned),AUC-ROC
A: Klinis saja,Decision Tree,0.4895,0.7957,0.1014,0.5946,0.1732,0.7374,0.0941,0.7297,0.1667,0.7335
A: Klinis saja,Random Forest,0.3102,0.8512,0.1184,0.4865,0.1905,0.7218,0.0971,0.8108,0.1734,0.8106
A: Klinis saja,XGBoost,0.0474,0.8794,0.1282,0.4054,0.1948,0.6362,0.084,0.9189,0.1538,0.8232
B: Klinis + Tidur,Decision Tree,0.0375,0.7646,0.085,0.5676,0.1479,0.5807,0.0661,0.8108,0.1222,0.7389
B: Klinis + Tidur,Random Forest,0.2708,0.893,0.1075,0.2703,0.1538,0.7364,0.0938,0.7297,0.1662,0.7763
B: Klinis + Tidur,XGBoost,0.0921,0.93,0.1569,0.2162,0.1818,0.7675,0.1055,0.7297,0.1843,0.8139
C: Klinis + Stres,Decision Tree,0.1119,0.8969,0.0941,0.2162,0.1311,0.6274,0.076,0.8378,0.1393,0.7271
C: Klinis + Stres,Random Forest,0.2376,0.8842,0.1204,0.3514,0.1793,0.678,0.0871,0.8378,0.1578,0.8026
C: Klinis + Stres,XGBoost,0.1617,0.9008,0.1176,0.2703,0.1639,0.8025,0.1227,0.7297,0.2101,0.8064
D: Klinis + Aktivitas,Decision Tree,0.6105,0.7451,0.0939,0.7027,0.1656,0.82,0.1224,0.6486,0.206,0.7485
D: Klinis + Aktivitas,Random Forest,0.3051,0.8405,0.1056,0.4595,0.1717,0.6916,0.0833,0.7568,0.1501,0.7805
D: Klinis + Aktivitas,XGBoost,0.0483,0.8658,0.096,0.3243,0.1481,0.6469,0.0799,0.8378,0.1459,0.7831
E: Klinis + Semua Gaya Hidup,Decision Tree,0.0714,0.7802,0.0724,0.4324,0.124,0.6848,0.0742,0.6757,0.1337,0.6624
E: Klinis + Semua Gaya Hidup,Random Forest,0.2315,0.894,0.1,0.2432,0.1417,0.6761,0.0795,0.7568,0.144,0.7678
E: Klinis + Semua Gaya Hidup,XGBoost,0.0059,0.929,0.1538,0.2162,0.1798,0.4086,0.056,0.973,0.1059,0.7286
